key,en,fr,es,de,ru,nl,ja,zh,pt-BR
Ben_phonecall_processed_caption_00,"[voicemail beep] Hey, Sonja.","[Bip de messagerie] Salut, Sonja.","[pitido de buzón de voz] Hola, Sonja.","[Voicemail-Beep] Hey, Sonja.","[Голосовая почта бип] привет, Соня.","[Voicemail piep] Hey, Sonja.",[ボイスメール] もしもし、ソニア。,[语音信箱响声]嘿，索尼娅。,"[Voicemail beep] Ei, Sonja."
Ben_phonecall_processed_caption_01,"I know you don’t have any reception in the valley, so I assume you’ll get this message once you get some altitude, closer to my cabin.","Je sais que ça captes pas trop bien dans la vallée donc je pense que tu recevra ce message une fois que tu sera arrivé un peu plus haut, près de ma cabane.","Sé que no tienes recepción en el valle, así que supongo que recibirás este mensaje una vez que estés más arriba, cerca de mi cabaña.","Ich weiß, Sie haben keine Rezeption im Tal, so dass ich nehme an, Sie werden diese Nachricht erhalten, sobald Sie eine Höhe erhalten, näher an meine Kabine.","Я знаю, что у вас нет какого-либо приема в долине, так что я предполагаю, что вы получите это сообщение, как только вы получите некоторую высоту, ближе к моей каюте.","Ik weet dat je geen receptie niet in het dal, dus ik neem aan dat je dit bericht krijgt zodra je wat hoogte te krijgen, dichter bij mijn hut.",山間は電波が届かないんだ。だからこのメッセージはキャビンの近くまで登った頃に届くと思う。,我知道你在山谷里没有信号，所以我想一旦你到了够高的地方，靠近我的船舱，你就会收到这条信息。,"Eu sei que você não tem nenhuma recepção no vale, então eu suponho que você vai receber esta mensagem depois de conseguir alguma altitude, mais perto da minha cabine."
Ben_phonecall_processed_caption_02,"Uh, you know I don’t believe in this supernatural stuff,","Euh, tu sais que je crois pas aux trucs surnaturels.","Eh, sabes que no creo en estas cosas sobrenaturales,","Äh, du weißt, ich glaube nicht an diesen übernatürlichen Sachen,","Ну, вы знаете, я не верю, что в этом сверхъестественных вещах,","Uh, je weet dat ik niet geloof in dit bovennatuurlijke dingen,",あのさ、俺は超常現象のたぐいは信じないタチなんだ。,呃，你知道我不相信超自然的东西，,"Uh, você sabe que eu não acredito nestas coisas sobrenaturais,"
Ben_phonecall_processed_caption_03,but there’s been even more weird shit happening in town since you left.,mais il y a des trucs super bizarre qui sont arrivé dans le coin depuis que t'es parti.,pero han sucedido cosas aún más raras en la ciudad desde que te fuiste.,"aber es ist schon noch mehr seltsame Scheiße in der Stadt geschieht, da Sie nach links.","но там было еще более странно дерьмо происходит в городе, так как вы ушли.","maar er is nog meer raar aan het gebeuren in de stad, omdat je vertrokken.",だけどお前が出発してからも、町では更におかしなことが続いてる。,但自从你离开后，城里发生了奇怪的事。,mas houve ainda mais estranho merda acontecendo na cidade desde que você partiu.
Ben_phonecall_processed_caption_04,"Not quite sure what you expect to find up there, but there’s clearly something going on.","je ne suis pas trop sûr de ce que tu espère trouver là haut, mais il y à définitivement un truc louche.","No estoy seguro de que espera encontrar allí, pero claramente algo está sucediendo.","Nicht ganz sicher, was Sie erwarten, es zu finden, aber es gibt eindeutig etwas los.","Не совсем уверен, что вы ожидаете найти там, но там явно что-то происходит.","Niet helemaal zeker wat je verwacht om daar te vinden, maar er is duidelijk iets aan de hand.",そこで何が見つかるかは分からないが、何かが起きてるのは確かだ。,我不太确定你会在上面找到什么，但显然情况很蹊跷。,"Não completamente certo o que você espera encontrar lá em cima, mas há claramente algo acontecendo."
Ben_phonecall_processed_caption_05,Just... try to be careful?,juste... essaie de faire gaffe?,"Solo... trata de tener cuidado, ¿si?","Nur ... versuchen, vorsichtig zu sein?",Просто ... стараюсь быть осторожным?,Gewoon ... probeer voorzichtig te zijn?,十分に気をつけてくれよ？,一定…一定要小心点。,Apenas ... tente ter cuidado?
Ben_phonecall_processed_caption_06,"Oh, I stocked a bunch of firewood last time I was up there, light a fire so you don’t freeze to death.","Oh, j'ai stoké du bois la dernière fois que je suis monté là haut, allumes toi un feu pour éviter de mourir de froid.","Oh, almacené un montón de leña la última vez que estuve allí, enciende un fuego para que no te mueras de frío.","Oh, ich habe einen Haufen von Brennholz zuletzt bestückte ich dort war auf, ein Feuer, so dass Sie den Tod nicht einfrieren.","О, я укомплектованным кучу дров в последний раз я был там, зажечь огонь, чтобы не замерзнуть.","Oh, ik gevulde een hoop brandhout laatste keer dat ik was daar, een vuurtje stoken, zodat je niet bevriezen tot de dood.",それと、前に薪を大量に準備しておいたんだ。凍死しないよう暖かくしろよ。,哦，上次我去上面的时候，放了一堆木柴，可以生火，这样你就不会挨冻了。,"Oh, eu abastecido um monte de lenha última vez que eu estava lá em cima, acender uma fogueira para que você não congelar até a morte."
Ben_phonecall_processed_caption_07,"Call me if you find anything, ok? Ok. See ya.","Appelle moi si il y à un problème, ok? Ok, A plus.","Llámame si encuentras algo, ¿de acuerdo? Bueno. Nos vemos.","Rufen Sie mich an, wenn Sie etwas finden, ok? OK. Tschüss.","Позвоните мне, если вы найдете что-нибудь, хорошо? Хорошо. До встречи.","Bel me als je iets vindt, ok? OK. Tot ziens.",何か見つけたら連絡をくれ。それじゃあ、また。,有什么发现就给我打电话，好吗？拜拜。,"Chame-me se você encontrar alguma coisa, ok? Está bem. Até mais."
log_bernstein_mudrunner_A,"The mudrunner: pink and blue spidery buggers. Universe of origin 438-Eurydice. Named after their habitat of choice, burrows underneath the swamps of their homeworld, but have shown a remarkable adaptation to the dryer rock of the reactor. Much to our dismay, of course. They seem to have burrows all over the damn place. Reproduce at a furious pace as well. 

They keep killing and dragging off executives apparently, never to be seen again, so admin’s got me up here studying them to try to, er, put a stop to that, I suppose.","Les Mudrunners: des putains d'arachnées bleues et roses. Univers d'origine 438-Eurydice. Nommé après leur habitat préféré, des terriers sous les marais de leur univers d'origine, mais ils ont montré une adaptation remarquable aux roches plus sèches du réacteur.
Ça nous désole, bien entendu.
On dirait bien qu'ils ont des terriers dans tout les foutus recoins du complexe. Et ça se reproduit aussi très rapidement.
Apparement ils n’arrêtent pas de tuer et emmener des cadres, la plupart d'entre eux n'ont jamais été revus.
Les administrateurs m'ont mis sur le coup pour, euh, y mettre un terme, je présume.","Los correlodo: pequeñas arañas rosas y azules. Universo de origen 438-Eurídice. Nombrados por su hábitat de elección, excavan debajo de los pantanos de su mundo natal, pero han mostrado una adaptación notable a la roca más seca del reactor. Lo cual nos consterna, por supuesto. Parecen tener madrigueras por todo el maldito lugar. Se reproducen a un ritmo vertiginoso.

Siguen matando y arrastrando ejecutivos, los cuales no son vistos nunca más, así que el administrador me ordenó estudiarlos para tratar de, eh, poner fin a eso, supongo.","Die mudrunner: rosa und blau spidery bummelt. Universum Ursprung 438-Eurydice. Benannt nach ihrem Lebensraum der Wahl, unter gräbt die Sümpfe ihrer Heimat, sondern hat eine bemerkenswerte Anpassung an den Trockner Felsen des Reaktors gezeigt. Zu unserer Bestürzung, natürlich. Sie scheinen gräbt haben in der ganzen verdammten Platz. Reproduzieren mit rasender Geschwindigkeit als auch.

Sie halten das Töten und scheinbar Führungskräfte ziehen weg, nie wieder gesehen werden, so admins mich hierher gelangt sind bis zu studieren, sie zu versuchen, äh, ein Ende zu setzen, dass, nehme ich an.","Mudrunner: розовые и голубые паукообразные педерасты. Вселенная происхождения 438-Эвридики. Названные после того, как их обитания выбора, норы под болота их родную планеты, но показали замечательную адаптацию к сушильной породе реактора. К нашему разочарованию, конечно. Они, кажется, имеют норы во всем проклятом месте. Воспроизведите в бешеном темпе, а также.

Они продолжают убивать и перетащив от руководителей, по-видимому, никогда не видел, поэтому администратор получил меня сюда изучать их, чтобы попытаться, э, положить конец, что, я полагаю.","De mudrunner: roze en blauwe spinachtige buggers. Universum van oorsprong 438-Eurydice. Genoemd naar hun leefgebied keuze, holen Onder de moerassen hun thuiswereld, maar toonden een opmerkelijke aanpassing aan de droger rots van de reactor. Tot onze ontsteltenis, natuurlijk. Ze lijken te holen hebben over de hele verdomde plaats. Reproduceren in een razend tempo ook.

Ze houden het doden en sleurde executives blijkbaar, om nooit meer te worden gezien, dus admin's got me hier ze te bestuderen om te proberen, eh, een einde maken aan die, denk ik.","マッドランナー: ピンクとブルーの、蜘蛛みたいな厄介者。起源宇宙は438-エウリュディケ。ホームワールドでは沼地の地中に生息することから命名されたが、リアクター周辺の乾燥した岩盤にも驚くべき適応を示している。もちろん、このことは俺たちの頭を悩ませている。どこにでも穴を掘るし、繁殖スピードも恐ろしく速い。

こいつらはどうも役員連中を殺しては引きずっていき、二度と見つからなくなるんだとか。それを防ぐために管理部は俺を連れてきて生態調査をしろ、という話らしい。","泥流虫:粉色和蓝色的蜘蛛虫。
起源宇宙438-欧律狄刻。
它们以它们选择的栖息地命名，喜欢在家园的沼泽下挖洞，
但已经表现出对反应堆干燥岩石的非凡适应性。
这当然令我们很惶恐。
它们似乎在这里到处挖洞。
以极快的速度繁殖。
很明显，它们一直在杀害管理人员，他们人间蒸发了，
所以老板们让我来这里研究它们，呃，并尝试消灭它们。","O mudrunner: rosa e azul insetos aranha. Universo de origem 438-Eurydice. Nomeado após seu habitat de escolha, tocas debaixo dos pântanos de seu planeta, mas mostraram uma notável adaptação à rocha secador do reactor. Muito a nossa consternação, é claro. Eles parecem ter tocas todo o maldito lugar. Reproduzem em um ritmo furioso também.

Mantêm-se matando e arrastando executivos aparentemente, para nunca mais ser visto novamente, de modo de administração tem-me aqui estudá-los para tentar, er, pôr um fim a isso, eu suponho."
bernstein_datacache_A_caption_00,The mudrunner: pink and blue spidery buggers.,Les Mudrunners: des putains d'arachnées bleues et roses.,Los correlodo: pequeñas arañas rosas y azules.,Die mudrunner: rosa und blau spidery bummelt.,Mudrunner: розовые и голубые паукообразные педерасты.,De mudrunner: roze en blauwe spinachtige buggers.,マッドランナー: ピンクとブルーの、蜘蛛みたいな厄介者。,泥流虫:粉色和蓝色的蜘蛛虫。,O mudrunner: rosa e azul insetos aranha.
